id,tier,score,bucket,theme,type,title,what,why,modules,effort,impact,depends_on,novelty,status,evidence,notes
R058,3 - Medium,75,B6,"UX, Visualization & LLM",ux,Route command-palette entity clicks straight to the tearsheet,"In ui/command_palette.render_command_palette, when a result kind is company/port/route set st.session_state['active_entity']+nav to tearsheet (not just parent section); pass chokepoints into default_entities() too.","Palette already indexes entities (default_entities) but a click only lands on the section, forcing a manual hunt — the inversion is half-built.",ui/command_palette.py,S,High,Build one deep-linkable instrument tearsheet page,sharpened,carried,ui/command_palette.py:390 result click sets only nav_section (confirmed); :274 default_entities has no chokepoints,impact80/feas92/fit72/nov60: tiny change completing a half-built inversion; high daily-use payoff
R059,3 - Medium,74,B8,Decarbonization & Monetization,feature,De-mock ESG tabs to live carbon engine with provenance,"Wire _ROUTES in tab_sustainability to carbon_calculator.calculate_all_routes() (engine exists, tab still iterates static _ROUTES). Carrier tables (_CARRIERS/_EU_EXPOSURE/_CII_CARRIERS) need a NEW carrier-level engine — no projector exists.",Route carbon engine is built but consumed by tests only; tab renders frozen _ROUTES as if live. Carrier CII/ETS tables have no engine counterpart at all.,ui/tab_sustainability.py; ui/tab_compliance.py; processing/carbon_calculator.py,M,Med,Build CII rating-trajectory / downgrade-year projector,sharpened,verified-revised,carbon_calculator only imported by tests/test_carbon_calculator.py; tab_sustainability.py:204 loops static _ROUTES; no cii_trajectory anywhere,"impact90 feas80 fit98 nov75; pure honesty+dead-input fix, engine already built, top throughline | Route engine real+unwired (confirmed); but carrier _CARRIERS/_EU_EXPOSURE/_CII_CA…"
R060,3 - Medium,74,B8,Decarbonization & Monetization,feature,Build EU-ETS phase-in + FuelEU penalty cost engine,"Add carbon_cost_engine.py: voyage_ets_cost(emissions,year) with real 40/70/100% EU-ETS scope phase-in (2024/25/26) + FuelEU EUR2400/t VLSFOe deficit penalty; replace flat _EU_ETS_PRICE_USD=80 in carbon_calculator.","carbon_calculator.py:45 hardcodes 100% scope at flat $80/t, no phase-in/FuelEU; but module is tests-only (no live consumer), so wire into tab_sustainability to realize impact.",processing/carbon_calculator.py; processing/carbon_cost_engine.py; ui/tab_sustainability.py,M,Med,,sharpened,verified-revised,carbon_calculator.py:45 _EU_ETS_PRICE_USD=80.0 flat; :118 cost=co2*80; no consumers outside tests; tab_sustainability.py:204 uses hardcoded _ROUTES,"impact88 feas82 fit92 nov78; foundation dep for 6 items, replaces flat $80 with real reg, makes data real | Constant+flat-cost confirmed; carbon_calculator has zero live consumers…"
R061,3 - Medium,74,B4,Trading & Freight-as-Asset,feature,Build reroute-amplified ton-mile demand engine into SSI (with reroute-distance fields),New processing/ton_mile_demand.py: volume × routed nm that swaps Suez→Cape distance when a chokepoint flips; add per-route normal_nm/reroute_nm + a ton_mile term to SSI COMPONENT_WEIGHTS.,A Suez closure inflates ton-mile demand ~30-40% with no new cargo; SSI's chokepoint component (max risk + compounding) ignores distance entirely — adding a distance/reroute term is the real freight c…,processing/ton_mile_demand.py; processing/chokepoint_analyzer.py; processing/carbon_calculator.py; processing/shipping_stress_index.py,M,High,,sharpened,verified-revised,ssi.py:53-60 weights have no distance term; _route_chokepoint_stress:145-194 ignores distance; carbon_calculator.py:14 ROUTE_DISTANCES (Suez-routed),"impact88 feas75 fit88 nov80 — merged engine+dead-field wiring; revives dead chokepoint fields, real freight construct | SSI distance-gap + reroute_nm absence real; but extra_days_…"
R062,3 - Medium,74,B3,Maritime Risk & Geopolitics,feature,Build per-voyage dark-fleet risk scorer behind Compliance tab,"New processing/dark_fleet_risk.py: score_voyage(Voyage)->DarkFleetScore from FOC flag, vessel age, opaque P&I, shadow-route adjacency, AIS-gap; add flag/owner/build_year to Voyage; replace _DARK_FLEET facade with per-voyage rollup.","Compliance _section_6_dark_fleet is a hardcoded 4-sponsor table; real Voyage geometry exists, so a per-voyage screen is a high-novelty second product.",processing/dark_fleet_risk.py; data/voyage_dataset.py; ui/tab_compliance.py,L,High,Add flag/owner/IMO/build-year fields to Voyage dataclass,sharpened,verified-revised,tab_compliance.py:323 _DARK_FLEET 4-sponsor hardcode; :683 _section_6 iterates it; voyage_dataset.py:114 Voyage has mmsi but no flag/owner/build_year…,impact85 feas72 fit90 nov82 — the Windward/Kpler second product; de-mocks a 969-line facade on real voyage geometry | Confirmed all 3 cites; section is sponsor-level not per-voyag…
R063,3 - Medium,74,B1,Honesty & Real Data,feature,Realness board: which signals ran on synthetic inputs today,"Add feed_realness() in engine/source_health.py classifying each feed's last fetch real/cached/synthetic from a new per-fetch provenance ledger, and render a board in ui/tab_data_health.py. Requires instrumenting feeds to persist DataSource…",source_health is uptime-only (HealthPing); data_health classifies by disk-age vs TTL and even falls back to synthetic records — no surface answers 'which signal ran on synthetic inputs'.,engine/source_health.py; data/quality.py; ui/tab_data_health.py,L,High,Add a per-fetch realness ledger every feed stamps (record_fetch + persisted DataSource),carried,verified-revised,"source_health.py:67/268 uptime-only; tab_data_health.py:271/300 age+synthetic fallback; only 3 feeds emit DataSource, none persisted; state/db.py:675…","impact85/feas80/fit88/nov60; turns the ledger into the answer to the central honesty question, in-product | Grounding confirmed; bumped effort M→L and trimmed score: ledger is gre…"
R064,3 - Medium,74,B1,Honesty & Real Data,data,Add keyless PortWatch daily chokepoint-transit feed,Add data/portwatch_chokepoint_feed.py hitting IMF PortWatch's free ArcGIS 'Daily Chokepoints Transit Calls' FeatureServer (no key); normalize to a transit-vs-baseline ratio per Suez/Panama/Hormuz/Bab-el-Mandeb and feed chokepoint_analyzer.…,PortWatch publishes a free AIS-derived daily chokepoint dataset; current ais_feed only probes dead /portcalls REST shapes. Gives an observed transit signal under the top SSI weight.,data/ais_feed.py; processing/chokepoint_analyzer.py; data/quality.py,M,High,"Wire real canal transit into chokepoint state, not just UI",sharpened,carried,DATA_PROVENANCE.md:53 PortWatch ships ArcGIS/CSV not the REST shape ais_feed tries; chokepoint daily_vessels hardcoded (chokepoint_analyzer.py:51/72/…,impact82/feas72/fit85/nov62; keyless observed-transit on top weight; overlaps canal feed so ranked just under it
R065,3 - Medium,74,B2,Track Record & Coherent Risk,feature,Add per-name and per-driver component ES decomposition,"In stress_var.py add component_es(book, shocks): split portfolio ES by ticker AND by shared cascade driver (chokepoint/commodity/freight-vol/fuel) using CascadeLink.contribution as the linkage weight; surface a stacked-bar in tab_risk_lab.",A single ES number hides that 3 names share one Suez bet; marginal/component ES tells the PM which driver actually owns the tail — the natural payoff of the coherent Stress-VaR.,processing/stress_var.py; processing/disruption_cascade.py; ui/tab_risk_lab.py,M,High,Build coherent Stress-VaR/ES by running the cascade into the loss distribution,sharpened,carried,disruption_cascade.py:447 CascadeLink contribution=route_stress*cargo_share*exposure_weight; no component_var/component_es (grep=0),impact 82/feas 68/fit 82/nov 70 — driver-level tail attribution off the cascade linkage
R066,3 - Medium,74,B3,Maritime Risk & Geopolitics,feature,Roll vessel sanctions risk up to equity ideas as exposure veto,Add sanctions_exposure_pct to company_profiler.compute_company_profiles by joining per-voyage dark-fleet/STS/gap scores to each ticker's fleet; surface as a veto field on EquityIdea cards in tab_idea_engine.,company_profiler never touches voyage risk today; a sanctions-exposure % that can veto a bullish idea is the bridge from compliance to the equity stack.,processing/company_profiler.py; processing/dark_fleet_risk.py; ui/tab_idea_engine.py,M,Med,Build per-voyage dark-fleet risk scorer behind Compliance tab,carried,carried,company_profiler.py:111 compute_company_profiles(stock_data) only merges stock price; no sanctions/voyage linkage; COMPANY_PROFILES:20 hardcoded mast…,impact78 feas70 fit88 nov62 — connects compliance to the equity stack (idea veto); the bridge that earns strategic fit
R067,3 - Medium,74,B6,"UX, Visualization & LLM",feature,Bind portfolio book to geography as a heat-overlay map,"Add _build_portfolio_heat_geo() that joins a user book → CommodityExposure.affected_routes → route dest ports, sizing/colouring TEU-map markers by $ exposure × live route stress so a Red Sea flare visibly reddens the exposed slice.",Exposure_matrix already maps tickers→routes→commodities but the maps ignore the book; overlaying position size onto live disruption is the bridge from research to a daily-checked tool.,ui/tab_teu_map.py; processing/exposure_matrix.py; ui/tab_world_graph.py,M,High,,sharpened,carried,exposure_matrix.py:171 CommodityExposure.affected_routes/bullish_companies; tab_teu_map.py:148 geo builder has no book input,impact85/feas68/fit78/nov72: research→tool bridge; needs a book input surface but reuses exposure_matrix
R068,3 - Medium,74,B8,Decarbonization & Monetization,feature,Build CII rating-trajectory / downgrade-year projector,"Add cii_trajectory.py: project_cii_drift(attained_aer, fleet_age) computing attained-vs-required AER under the ~2%/yr MEPC tightening, returning current letter, drift slope, and predicted D/E downgrade year per carrier.","carbon_calculator only assigns a static A-D grade from one voyage; the regulatory risk is the forward DRIFT into a D/E penalty band (stranded tonnage), which nothing computes.",processing/carbon_calculator.py; processing/cii_trajectory.py; processing/company_profiler.py,M,Med,,sharpened,carried,carbon_calculator.py:42 cites IMO bands in comment only; grade is single-voyage at :121-128; no attained/required_cii computation,"impact75 feas72 fit80 nov74; forward reg-drift the static grade misses, unblocks de-mock ESG tab"
R069,3 - Medium,73,B4,Trading & Freight-as-Asset,feature,Decompose book Expected Shortfall by shared disruption driver,"Add risk_lab.marginal_es_by_driver(weights, returns, ideas): split portfolio CVaR per name AND per shared cascade driver (chokepoint/commodity/fuel) using each idea's dominant_driver_key, so a PM sees concentration risk, not just a total V…",risk_lab gives a single portfolio_var number; the real risk is N names secretly being one Suez bet — the cascade's dominant_driver_key already labels that linkage but is unused for risk attribution.,processing/risk_lab.py; processing/disruption_cascade.py; engine/portfolio_optimizer.py,M,Med,Map a bring-your-own book onto live cascade contribution + run canonical shocks on real h…,new,carried,risk_lab.py:178 portfolio_var returns one number; disruption_cascade.py:475 dominant_driver_key never used for risk attribution,impact76 feas75 fit82 nov72 — surfaces hidden single-bet concentration; reuses the existing driver-key linkage
R070,3 - Medium,72,B2,Track Record & Coherent Risk,test,Add a returns-vs-Stress-VaR coverage backtest validator,"Add a tools/backtests adapter that, on dates a real chokepoint event fired, checks whether realized shipping-equity returns landed inside the cascade-derived Stress-VaR band (Kupiec/coverage test) and reports breach rate vs nominal confide…",No risk number has ever been checked against realized P&L; the 18 existing adapters validate analytics against each other (DATA_PROVENANCE:114). A coverage test is the minimum honesty gate before quo…,tools/backtests.py; processing/stress_var.py; data/historical_events.py; data/stock_feed.py,M,Med,Build coherent Stress-VaR/ES by running the cascade into the loss distribution,new,carried,"tools/backtests.py:631 ADAPTERS + :658 run_all_backtests loop, none score realized P&L; portfolio_optimizer.py:329 walk_forward for weights only; no …",impact 72/feas 72/fit 85/nov 65 — first risk number checked vs realized P&L
R071,3 - Medium,72,B3,Maritime Risk & Geopolitics,refactor,De-duplicate the two divergent static chokepoint registries,Make chokepoint_analyzer.CHOKEPOINTS the single source; have risk_monitor derive its per-route risk/alerts from it (and the new live feeds) instead of maintaining a second hand-edited Chokepoint dataclass with its own dates and risk levels.,Two parallel static chokepoint tables drift (suez HIGH in risk_monitor vs CRITICAL in analyzer); wiring live data once avoids fixing geopolitics in one place and not the other.,processing/risk_monitor.py; processing/chokepoint_analyzer.py,S,Med,Drive chokepoint risk_level from GDELT conflict + canal transit feeds,new,carried,risk_monitor.py:49-55 suez risk_level='HIGH' + own Chokepoint dataclass at :31 vs chokepoint_analyzer.py:78 suez 'CRITICAL' + separate dataclass at :…,impact68 feas92 fit80 nov50 — verified drift (HIGH vs CRITICAL); small refactor that makes the live-feed wiring land once
R072,3 - Medium,72,B4,Trading & Freight-as-Asset,refactor,"Make fleet_tracker net-supply feed SSI capacity, not just app.py","Expose get_supply_pressure_score() from fleet_tracker into shipping_stress_index as a supply-side modulator (oversupply caps rate-stress upside; tightness amplifies it), so SSI reflects the capacity glut the orderbook implies.","Net supply growth ~10% vs demand ~3.5% is structurally bearish, yet SSI ignores supply entirely — rate spikes read as stress with no capacity context.",processing/fleet_tracker.py; processing/shipping_stress_index.py,S,Med,,new,carried,fleet_tracker.py get_supply_pressure_score consumed only by fleet_tracker+its test (grep); SSI COMPONENT_WEIGHTS (ssi.py:53) has no supply term,"impact72 feas88 fit78 nov66 — S-effort, wires an existing score into the headline index for capacity context"
R073,3 - Medium,72,B6,"UX, Visualization & LLM",feature,Extract tickers + chokepoints in the news entity resolver,"In processing/news_sentiment.py build _COMPANY_PATTERNS from COMPANY_PROFILES (name+ticker) and _CHOKEPOINT_PATTERNS from chokepoint_analyzer, merge into _extract_entities so NewsArticle.entities carries typed {ticker,route,port,chokepoint…","_extract_entities matches ports/routes only — headlines never resolve to tickers/chokepoints, so news can't be wired bidirectionally to instruments.",processing/news_sentiment.py; processing/chokepoint_analyzer.py,M,High,,sharpened,carried,"news_sentiment.py:204 _ENTITY_PATTERNS + :337 _extract_entities (ports/routes only, confirmed); no ticker/chokepoint match","impact78/feas75/fit72/nov62: unlocks bidirectional news↔instrument; reuses COMPANY_PROFILES, feeds tearsheet rail"
R074,3 - Medium,72,B7,"Platform, Scale & Code Quality",fix,Resolve the discarded DailyDigest + its unescaped renderer,"In processing/investor_report_engine.py:1880 drop the build_digest() call + InvestorReport.digest field (never read in engine/ui/worker/delivery), and remove digest_builder.render_as_* — OR if wiring it, add html.escape to every interpolat…",build_digest runs on every report and is discarded (wasted compute); render_as_html concatenates title/rationale/port/route raw — a primed XSS sink that goes live the instant anyone wires the digest.,utils/digest_builder.py; processing/investor_report_engine.py,S,Med,,carried,carried,investor_report_engine.py:1880 build_digest() called; 0 report.digest reads in engine/ui/worker/delivery; digest_builder html.escape count=0,"impact68/feas88/fit72/nov62: verified build_digest runs+discarded (0 reads), 0 html.escape — wasted compute + primed XSS"
R075,4 - Backlog,71,B1,Honesty & Real Data,fix,Rename has_real_data to has_real_trade_data; add has_any_real gate,ports/demand_analyzer.py sets has_real_data=True inside the trade branch only (even on wb_synthetic rows). Rename to has_real_trade_data and add has_any_real_data True only on non-synthetic source; gate scorer.py/convergence_tracker.py on …,A flag literally named has_real_data sits True on entirely synthetic trade rows — the name actively lies and drops ports with real WB TEU but empty trade.,ports/demand_analyzer.py; engine/scorer.py; engine/convergence_tracker.py,M,Med,,carried,carried,"VERIFIED demand_analyzer.py:104 has_real_data=False default, :110 set True in trade branch, :223 propagated; comtrade_feed.py:345 source='wb_syntheti…",impact70/feas82/fit80/nov55; small fix to a flag that literally lies; verified line-exact
R076,4 - Backlog,71,B5,"Ops, Resilience & Alerting",feature,Add EQUIPMENT_SHORTAGE / CAPACITY_DIVERGENCE / SUPPLY_TTR_BREACH rule templates + produce…,"Register rule templates in engine/rule_templates.py firing on (a) capacity_demand_divergence is_alert_worthy, (b) an equipment-shortage deficit crossing, (c) resilience_ttr gap_days>0 naming the breaching node + days-short; wire into alert…",The divergence engine computes is_alert_worthy but nothing fires it (no non-test consumer); the TTR gap and equipment deficit are only useful if they trigger. The alert substrate fires single-metric …,engine/rule_templates.py; engine/alert_engine_v2.py; processing/capacity_demand_divergence.py; processing/resilience_ttr.py,S,Med,Wire blank-sailing alerts into capacity_demand_divergence as withdrawal shocks,new,carried,capacity_demand_divergence has NO non-test consumer (grep verified); rule_templates.py has get/list/template_to_alert_rule but no equipment/capacity/…,"MERGED 2 alert-template + TTR-breach dupes; impact70/feas85/fit74/nov60; S effort, makes new engines push"
R077,4 - Backlog,71,B7,"Platform, Scale & Code Quality",security,Neutralize CSV formula injection centrally in _coerce_cell,"In csv_export._coerce_cell (utils/csv_export.py:188), prefix any string starting with = + - @ tab or CR with a leading apostrophe before return at line 200. Add the same guard to port_supply_csv's csv.writer rows.",User-authored alert rule names persist to alerts.title then flow into CSV unescaped; '=HYPERLINK(...)' executes when a colleague opens it in Excel/Sheets — classic injection via normal workflow.,utils/csv_export.py; utils/port_supply_csv.py,S,Med,,carried,carried,csv_export.py: str values returned unchanged (no formula-char guard); port_supply_csv csv.writer with no guard,impact66/feas92/fit68/nov60: verified str passthrough no guard; user alert names → Excel formula exec via normal export workflow
R078,4 - Backlog,71,B8,Decarbonization & Monetization,feature,Add carbon-burden conviction hop to disruption cascade,"Add a 'carbon' term to _CONVICTION_WEIGHT_SETS and a CarbonExposure CascadeLink in _company_cascade (disruption_cascade.py): per-carrier (ETS+FuelEU $/EBITDA + CII-laggard flag) pushes high-carbon names bearish, weights re-summed to 1.0.","Cascade conviction has 4 terms (cascade/agreement/etf_confirm/vulnerability), none carbon; a carrier facing a rising stranded-tonnage bill is a structural short the engine can't express.",processing/disruption_cascade.py; processing/carbon_cost_engine.py,M,Med,Build EU-ETS phase-in + FuelEU penalty cost engine,sharpened,carried,disruption_cascade.py:294 _CONVICTION_WEIGHT_SETS confirmed multi-set; sum==1.0 asserted at :335-338; no carbon key,"impact72 feas70 fit78 nov72; carbon as structural-short signal in the alpha chassis, re-sum guard exists"
R079,4 - Backlog,70,B3,Maritime Risk & Geopolitics,data,Add flag/owner/IMO/build-year fields to Voyage dataclass,"Extend voyage_dataset.Voyage with default-valued flag (use imported _FLAGS), imo, owner_id, manager_id, build_year, p_and_i_club; populate deterministically in build_voyage_fleet.",Voyage has lat/lon/speed but no identity/registry fields. _FLAGS is imported (line 41) yet unused. Enables future dark-fleet/STS/UBO/flag-hop engines (none exist yet).,data/voyage_dataset.py,S,Med,,new,verified-revised,"voyage_dataset.py:114-145 dataclass lacks flag/imo/owner; :41 _FLAGS imported, used only in aisstream_feed.py:393; no downstream engine consumes these","impact82 feas95 fit85 nov60 — small, enables 4 downstream engines (dark-fleet/STS/UBO/flag-hop); verified missing | Confirmed schema gap + unused import. Downgraded impact High->M…"
R080,4 - Backlog,70,B5,"Ops, Resilience & Alerting",feature,Add event-derived recovery_days + TTR engine (label TTS as modeled),"Add recovery_days + get_recovery_calibration() to data/historical_events.py from real start/end durations (9 events, handle 'ongoing'). New processing/resilience_ttr.py derives per-node TTR; gap_days vs TTS must label TTS as modeled.","Event durations are real ground-truth and recovery sits unused. But TTS rides on supply_deficit_days -> hardcoded REGIONAL_EQUIPMENT_STATUS, so gap_days is half-synthetic — don't sell it as real.",processing/resilience_ttr.py; data/historical_events.py; processing/port_supply_lines.py,L,Med,,sharpened,verified-revised,"historical_events.py:77-84 fields end at expected_lead_time_days, no recovery_days; equipment_tracker.py:9 'hardcoded 2025/2026 estimates'; grep TTR=0",FOLDED calibration-data sub-item in; impact82/feas75/fit90/nov76; uses the one real-duration ground truth available | Confirmed no recovery_days/TTR module; TTS source is hardcode…
R081,4 - Backlog,70,B6,"UX, Visualization & LLM",feature,"Autonomous overnight analyst that files a cited, budgeted memo","New worker job run_overnight_analyst_job: pick top 2-3 anomaly_detect flags, trace each via the agentic analyst to root cause + equity implications, write a cited memo to report_history under a token budget read from llm_budget.",anomaly_detect + scheduler + narration exist but nothing autonomously investigates overnight; the highest-leverage use of the decomposable stack.,engine/anomaly_detect.py; worker/scheduler.py; engine/daily_briefing_tldr.py,L,High,Agentic analyst with a numeric self-verification loop and saved trace,carried,carried,"engine/anomaly_detect.py:566 detect_anomaly ready; daily_briefing_tldr.py nightly Claude path exists, no investigation loop",impact88/feas52/fit88/nov75: highest-leverage autonomy but stacks on agent+budget; L-effort + dependency chain
R082,4 - Backlog,69,B1,Honesty & Real Data,fix,De-mock static facade tabs or stamp SAMPLE banner on each,tab_compliance prints hardcoded SDN-vessel counts + ignores render args; tab_booking uses random.randint over _CARRIERS/_ROUTES fixtures; tab_trade_war ignores inputs. Add a top-of-render() ILLUSTRATIVE/SAMPLE banner until each is wired.,"Convincing institutional UIs over frozen constants present invented figures with no provenance — same defect class as the PDF, on product-facing tabs.",ui/tab_compliance.py; ui/tab_booking.py; ui/tab_trade_war.py,S,Med,,carried,carried,VERIFIED tab_booking.py:58 _CARRIERS/:65 _ROUTES fixtures driving 314/454/492 loops; tab_compliance.py + tab_trade_war.py exist as facades,"impact72/feas88/fit78/nov48; cheap honesty banner on facade tabs; booking fixtures verified, compliance/trade_war line-numbers unconfirmed"
R083,4 - Backlog,69,B4,Trading & Freight-as-Asset,feature,Add a daily target-book trade blotter with change drivers,"New processing/book_blotter.py diff_target_book(prev,curr): day-over-day entries/exits/trims of the sized target weights, each annotated with the driving cascade hop; persist via a blotter kv_state row and surface in tab_briefing as the mo…","Platform produces ranked ideas but no day-over-day diff; a PM needs the delta (what changed and why), not a fresh ranking each morning.",processing/book_blotter.py; processing/snapshot_diff_anomaly.py; delivery/briefing_tldr.py; ui/tab_briefing.py,M,Med,Add a conviction-to-weight position sizer driving target weights,new,carried,"snapshot_diff_anomaly.py:136 compute_diff_magnitude exists but no target-book diff; briefing_tldr.py present, no blotter","impact72 feas75 fit72 nov66 — the morning-action deliverable; depends on sizer, reuses briefing substrate"
R084,4 - Backlog,68,B5,"Ops, Resilience & Alerting",feature,Wire blank-sailing alerts into capacity_demand_divergence as withdrawal shocks,"New processing/blank_sailing_impact.py: map each get_blank_sailing_alerts() teu_impact onto its trade_lane, subtract from a per-lane modeled capacity baseline, re-run summarize_persistent_divergence per route → uptick + equipment-shortage …",get_blank_sailing_alerts is display-only (tab_carriers.py:649); capacity_demand_divergence has no live consumer (only a synthetic backtest). Wiring them makes both orphans actionable.,processing/blank_sailing_impact.py (new); data/carrier_intelligence.py; processing/capacity_demand_divergence.py; ui/tab_carriers.py,M,Med,,sharpened,verified-revised,"carrier_intelligence.py:530 alerts are mock/curated; capacity_demand_divergence.py:32 pure-fn, only consumer analytics_backtests.py:147 (synthetic 15…",impact85/feas82/fit88/nov72; connects two orphaned engines into one decision; Theme-I top item | Confirmed both orphaned + new file absent; but both inputs synthetic (no live capa…
R085,4 - Backlog,68,B5,"Ops, Resilience & Alerting",refactor,Retire dead supply-risk composite; route tab_supply_chain to the real resilience_ttr engi…,"Replace compute_supply_chain_risk_score (and its hardcoded GEO_RISKS probs 0.75/0.45/0.10) — currently computed in app.py but never rendered as the tab's recovery number, which is faked with random.Random — by routing ui/tab_supply_chain.p…",tab_supply_chain fabricates '6 months (recovering)' via import random while the real (if synthetic) composite runs in app.py and is ignored by the tab — an honesty defect plus dead compute.,processing/supply_chain_risk.py; ui/tab_supply_chain.py; app.py,M,Med,Build Time-to-Recover vs Time-to-Survive engine off real events,sharpened,carried,"CORRECTION: compute_supply_chain_risk_score IS called at app.py:454 (not dead); tab_supply_chain.py:4 import random, :237 '6 months (recovering)' fab…",impact66/feas72/fit78/nov58; downgraded — evidence claimed dead but it's wired; honesty value stands
R086,4 - Backlog,68,B7,"Platform, Scale & Code Quality",infra,Expose a /metrics Prometheus endpoint over the telemetry stores,"Add a public _serve_metrics in api_server.py emitting Prometheus text from get_perf_summary (perf_telemetry:208), get_health_summary (source_health:381), worker_runs, and delivery-retry depth — render-p95 gauges, source-up gauges, job-succ…","Four telemetry stores exist but are visible only inside Streamlit tabs; no machine-readable SLO/error-budget surface for external alerting on render latency, feed-down, or job failure.",engine/perf_telemetry.py; engine/source_health.py; worker/api_server.py,M,Med,,sharpened,carried,0 prometheus|/metrics hits in api_server.py; perf_telemetry:208 get_perf_summary + source_health:381 get_health_summary already aggregate,impact70/feas72/fit65/nov68: verified 0 /metrics + aggregators already exist; honest-ops surface but feeds external infra not in-app trust
R087,4 - Backlog,68,B8,Decarbonization & Monetization,infra,Add a billing-events outbox + Stripe-webhook reconciler,"Add a billing_events outbox table written on quota-exceed / plan-change / subscription-delivery, and a /webhooks/stripe handler in webhook_listener that reconciles plan_id on api_tokens — the missing bridge from usage to actual revenue.","The panel proposed metering + invoice 'with markup' but no money-movement path; usage that never reconciles to a payment processor is a spreadsheet, not revenue.",worker/webhook_listener.py; engine/api_usage.py (new); state/migrations.py,M,Med,Meter every API hit into a usage ledger by compute weight,new,carried,grep billing/invoice/Stripe across repo = 0; webhook_listener.py has _verify_hmac + PagerDuty/generic handlers to extend; SHIP_REVIEW Q#78 stops at '…,"impact75 feas62 fit65 nov80; closes the usage->revenue gap the panel missed, but external dep lowers feas"
R088,4 - Backlog,67,B1,Honesty & Real Data,feature,Add provenance-aware LLM guardrail rejecting modeled-as-observed claims,engine/narration_engine.py has no provenance injection. Inject each input's DataSource.kind into the prompt context and add a post-gen linter that flags/annotates sentences stating a modeled number as observed fact.,Generated briefings narrate synthetic SSI/cascade numbers in declarative prose with no 'modeled' hedge — laundering synthetic data into authoritative narrative.,engine/narration_engine.py; engine/tab_commentary.py; data/quality.py,M,Med,Build Realness Ledger board scoring all 17 feed paths real/dark/modeled,new,carried,VERIFIED grep DataSource/provenance/modeled engine/narration_engine.py -> 0 matches,impact72/feas68/fit82/nov72; stops narrative laundering of synthetic numbers; verified zero provenance in narration
R089,4 - Backlog,67,B4,Trading & Freight-as-Asset,feature,Add a liquidity-adjusted exit-horizon stretch to book VaR,"In risk_lab compute days-to-liquidate per name = position$ / (participation% × dollar-ADV) and stretch portfolio_var/CVaR by √(horizon) per name, surfacing the names that gap on news (thin ZIM/MATX/SBLK).",1-day VaR understates the loss when exiting a thin shipping name takes days; the dollar-ADV needed already comes from the real volume column.,processing/risk_lab.py; processing/tradeability.py; data/normalizer.py,M,Med,Build a tradeability filter from real dollar-volume,sharpened,carried,"risk_lab.py:88 historical_var scales by sqrt(horizon_days) but horizon is a fixed input, not per-name liquidity-derived",impact70 feas75 fit72 nov64 — makes VaR honest for thin shipping names; small extension of existing sqrt-horizon scaler
R090,4 - Backlog,67,B8,Decarbonization & Monetization,test,Add walk-forward backtest harness for carbon cost engine,"Add tools/backtests adapter that replays carbon_cost_engine ETS bills against published carrier disclosures (Maersk/Hapag annual ETS provisions) to bound the model's level error, mirroring the defining-property backtest pattern.","Every other headline number is being validated vs reality; the carbon engine ships pure constants (factor 3.114, 85 MT/day) and has never been checked against a real disclosed ETS line.",tools/backtests.py; processing/carbon_cost_engine.py; tests/test_carbon_cost_engine.py,M,Med,Build EU-ETS phase-in + FuelEU penalty cost engine,new,carried,"carbon_calculator.py:35-44 fixed _FUEL_CONSUMPTION_MT_PER_DAY=85.0 / _CO2_FACTOR=3.114; provenance 'modeled', consumed_by 'tests only'","impact65 feas68 fit85 nov66; directly the 'validate vs reality' leg, bounds carbon level error vs disclosures"
R091,4 - Backlog,64,B1,Honesty & Real Data,test,Add CI test asserting every wired tab body carries a provenance pill,Add a test importing each ui/tab_*.py wired in app.py and asserting it references live_data_badge or source_footer; whitelist exceptions explicitly so new tabs can't ship provenance-blind.,Facade tabs (booking/compliance/trade_war) ship provenance-blind today; nothing prevents the next tab from doing the same. The honesty pass has no enforcement.,tests/test_tab_provenance.py; ui/styles.py; app.py,S,Med,De-mock static facade tabs or stamp SAMPLE banner on each,new,SHIPPED 73f3aa1,VERIFIED disruption_radar/overview DO carry badges (15/12) but facade tabs do not; no test asserts cross-tab provenance coverage,[done 2026-06-04] impact65/feas88/fit78/nov55; cheap regression guard; re-targeted — original 'SSI tab has zero provenance' claim was FALSE (already covered)
R092,4 - Backlog,63,B7,"Platform, Scale & Code Quality",refactor,Swap HTTPServer for ThreadingHTTPServer with audited shared state,"Change serve() (api_server.py:4000) to ThreadingHTTPServer; guard now-shared _HMAC_BUCKETS, unauth IP buckets, and the new backtests cache with locks (the _OPENAPI_CACHE_LOCK is the template). Add a concurrent-GET load test.","Single thread means any slow handler (backtests, XLSX render) head-of-line-blocks all authenticated traffic; threading removes the structural bottleneck Fix-3's cache only narrows.",worker/api_server.py,M,Med,TTL-cache backtests-health behind the openapi-cache pattern,carried,carried,"api_server.py:4000 HTTPServer((host,port),APIHandler); only _OPENAPI_CACHE_LOCK(661) exists — _HMAC_BUCKETS/IP buckets unguarded",impact70/feas55/fit60/nov62: verified single-thread + only 1 lock; real bottleneck but races need careful audit + thread-local DB already in place
